model_name,epoch,val_loss,val_dice,val_iou,val_precision,val_recall,val_FPR,val_FNR,ckpt_path
MISSFormer,,,,,,,,,
Unet,4,0.2910267114639282,0.5531550129302273,0.3825513315574529,0.894875031577989,0.40104884189264234,0.005733275923118322,0.5989511340483883,logs/Unet/best_dice_model.pt
DeepLabV3,,,,,,,,,
Unet,5,0.22955563167730966,0.5892561848481755,0.4178201359048093,0.9025161977650967,0.4379862901231026,0.005751465694150974,0.562013685817928,logs/Unet/best_dice_model.pt
DeepLabV3,4,225.69539801279703,0.10311094125995486,0.056018831805174085,0.11166676720643338,0.09584847681750634,0.06201135864226064,0.9041514991235243,logs/DeepLabV3/best_dice_model.pt
miniseg,5,0.5732040603955587,0.5322306760289574,0.3630328945185455,0.4348051418810215,0.6880451775603128,0.10977303258604813,0.31195479838071777,logs/miniseg/best_dice_model.pt
segnet,5,0.2373419056336085,0.38339434501576597,0.2374428662014305,0.7781573590091092,0.2546545413861585,0.008853552858274834,0.7453454345548721,logs/segnet/best_dice_model.pt
unetpp,5,0.1650390625,0.6585448177043451,0.4909692293133013,0.8555556516461938,0.5357956027269419,0.011031817937059688,0.46420437321408875,logs/unetpp/best_dice_model.pt
SwinUNETR,4,0.23003536462783813,0.7105825610309822,0.5512258019845185,0.7870708544442903,0.6492430399756828,0.021399124586449367,0.3507569359653478,logs/SwinUNETR/best_dice_model.pt
AttentionUnet,5,0.2641282876332601,0.7136750270868047,0.5548434032598131,0.7765686329724009,0.6613516210052675,0.02323106220308654,0.33864835493576323,logs/AttentionUnet/best_dice_model.pt
UNETR,5,0.3579866786797841,0.6216388416414961,0.45107665173784056,0.7708072719226822,0.5223512168405725,0.01894896968831046,0.47764875910045806,logs/UNETR/best_dice_model.pt
MISSFormer,,,,,,,,,
UCTransNet,4,0.3908318181832631,0.6185876273978006,0.44780656223218945,0.5415814892252336,0.7221079319588187,0.07463613535988575,0.2778920439822119,logs/UCTransNet/best_dice_model.pt
TransFuse,,,,,,,,,
